Episode,Training Error
0,0.38791714680194855
1,0.389303995013237
2,0.39036689746379855
3,0.3917476292848587
4,0.3925776319503784
5,0.3938022974729538
6,0.39534855902194976
7,0.39611560946702956
8,0.3973237448334694
9,0.39892755860090257
10,0.400458754837513
11,0.4017662097811699
12,0.40319602519273756
13,0.40488496512174604
14,0.4061685534119606
15,0.40726487058401106
16,0.40837688678503037
17,0.4095642350316048
18,0.4107654486298561
19,0.4120457461476326
20,0.4133944020867348
21,0.4145653856396675
22,0.41565730172395704
23,0.4165324073433876
24,0.41795570570230484
25,0.418893499314785
26,0.42019246381521225
27,0.4215045630335808
28,0.42256855791807174
29,0.4240304862856865
30,0.42531348234415056
31,0.42640102821588516
32,0.4273498457074165
33,0.4286658356785774
34,0.4299339138865471
35,0.431467936694622
36,0.43295115894079206
37,0.4339715333580971
38,0.4352277093529701
39,0.43695040434598925
40,0.43850638419389726
41,0.4397893571257591
42,0.4412131931185722
43,0.44250375348329546
44,0.4434688009619713
45,0.4447472754120827
46,0.44598552423715593
47,0.4474871270060539
48,0.44828701329231263
49,0.44968971824646
50,0.45086288583278655
51,0.45208074343204496
52,0.4534656509160995
53,0.4548392308950424
54,0.4562656874656677
55,0.45788849020004274
56,0.4590563393831253
57,0.4606067621707916
58,0.4620983659029007
59,0.4634840301275253
60,0.46425625669956205
61,0.46569972777366636
62,0.46694917893409726
63,0.4686054978370667
64,0.4701281580924988
65,0.47136091673374175
66,0.47256245934963226
67,0.4738772528171539
68,0.4751436381340027
69,0.4761643799543381
70,0.47752288484573363
71,0.4788232442140579
72,0.48043938434123995
73,0.48162569880485534
74,0.4827788211107254
75,0.48397133791446684
76,0.48520499181747434
77,0.48672801375389096
78,0.4880025070905685
79,0.48939012801647186
80,0.49069952476024625
81,0.4919796653985977
82,0.49326253044605256
83,0.49442583525180817
84,0.4958652688264847
85,0.4968756639957428
86,0.49823977184295654
87,0.4995644917488098
88,0.5008069021701813
89,0.5020216338634491
90,0.5033073630332947
91,0.504227421104908
92,0.5056227917075157
93,0.5068183647990226
94,0.5080238265395165
95,0.5091068641543388
96,0.5104546229243279
97,0.5116935797333717
98,0.512884809434414
99,0.5141661173701286
100,0.5155058467984199
101,0.5163652850389481
102,0.5171874502897262
103,0.5182742635011673
104,0.5193755472898484
105,0.5204260051250458
106,0.5215908784866333
107,0.5226396526098251
108,0.523784456372261
109,0.5248464467525482
110,0.5263953981399536
111,0.527646136045456
112,0.5288408610820771
113,0.5301812306642533
114,0.5316174864768982
115,0.5327944366931915
116,0.5338757643699646
117,0.535062089085579
118,0.5363443244695664
119,0.5374064865112305
120,0.5383183529376984
121,0.5396977199316024
122,0.541312411904335
123,0.5426616946458817
124,0.544165366768837
125,0.5452975549697876
126,0.5463406701087952
127,0.5475071301460266
128,0.5486695449352265
129,0.5503066226243972
130,0.5514563791751862
131,0.5523835425376892
132,0.5538535009622574
133,0.5551247115135193
134,0.5563656232357025
135,0.5572883283495903
136,0.5583908222317696
137,0.5596710520386696
138,0.5606171537637711
139,0.5618131964206695
140,0.5632914881706238
141,0.5645463047027588
142,0.5658168073892593
143,0.5670686335563659
144,0.5684290850162506
145,0.5699335159063339
146,0.5712602021694183
147,0.5722280642390252
148,0.5737838004231453
149,0.5749766004681587
150,0.5763232486844063
151,0.5775889963507652
152,0.5788056543469429
153,0.5798426471352577
154,0.5815980094075203
155,0.5829923689961434
156,0.5838327381014824
157,0.584793105661869
158,0.586083224594593
159,0.5872396138310433
160,0.5883567438721656
161,0.5892701147198677
162,0.5905406935811043
163,0.5916837136149407
164,0.5929569031596184
165,0.5944260750412941
166,0.595780604660511
167,0.5970969863533974
168,0.598858692586422
169,0.6001155781149864
170,0.6013409517407418
171,0.6024956491589546
172,0.6037904059290886
173,0.6052561267018318
174,0.6066868563294411
175,0.6080958486199379
176,0.6092826082110405
177,0.6104340035319328
178,0.6117609056830406
179,0.6131863045096397
180,0.6145131127238274
181,0.6158582089543343
182,0.6170568887591362
183,0.6183109963536263
184,0.6196234396100044
185,0.6206943412423134
186,0.6217573781609536
187,0.6233296676278114
188,0.6249158247113228
189,0.626332772552967
190,0.6276610758900643
191,0.628749577820301
192,0.6298340581059456
193,0.6308630421757698
194,0.6321435611844063
195,0.6333706969618798
196,0.6343226222991943
197,0.6353860232830048
198,0.63675858938694
199,0.638037328004837
200,0.6394050160646438
201,0.6405905706882477
202,0.641816670179367
203,0.6428727207183837
204,0.6441972879171372
205,0.6454519069194794
206,0.6466524366140366
207,0.6481242380142211
208,0.64922529733181
209,0.6502285900115967
210,0.651198458135128
211,0.6517784257531166
212,0.6527902072072029
213,0.6540023664832115
214,0.6552988750338554
215,0.6563857915997505
216,0.6578267827630043
217,0.659328177511692
218,0.6604366696476937
219,0.6615467663407326
220,0.6631945967078209
221,0.6643986837267876
222,0.6661600221991539
223,0.6672810396552086
224,0.6687539255023003
225,0.670005106151104
226,0.6710323967337608
227,0.6722060469985008
228,0.6734361702799797
229,0.6744593760371208
230,0.6756552898287773
231,0.6770472171902656
232,0.6781349931359291
233,0.6791594584584236
234,0.6803836712241172
235,0.6818919572234153
236,0.6828950073122978
237,0.684011873781681
238,0.6853238025307655
239,0.6866559903025627
240,0.687798466861248
241,0.6890489386916161
242,0.6904167299866676
243,0.6913428933024407
244,0.6924453096985816
245,0.6935043153166771
246,0.6946314505934715
247,0.6957999343276023
248,0.6970525605082512
249,0.6982377287745476
250,0.6994876893162727
251,0.6964031375050544
252,0.6865120177865028
253,0.6829234412908554
254,0.6819143174290657
255,0.6801657477021217
256,0.6773230903744698
257,0.6755923282504082
258,0.6743157256245613
259,0.6736715903878212
260,0.6734291585087776
261,0.6731010583043099
262,0.6725876536965371
263,0.6722831164002419
264,0.6704105225205421
265,0.6691050162315368
266,0.6680221685767174
267,0.6671438928246498
268,0.6665235021710396
269,0.666720936357975
270,0.6659745308756828
271,0.6656264062523842
272,0.6652224105000496
273,0.6650751711726188
