Episode,Training Error
0,2.132370948791504
1,5.681341171264648
2,2.2459630966186523
3,0.9766648411750793
4,1.483780860900879
5,1.9923040866851807
6,1.519098162651062
7,1.2668077945709229
8,0.8885558843612671
9,0.7576253414154053
10,0.824245810508728
11,0.9938021898269653
12,0.979491114616394
13,1.5473800897598267
14,1.0705126523971558
15,0.9376421570777893
16,1.0371614694595337
17,0.7950900197029114
18,0.7275153398513794
19,0.8293650150299072
20,0.8627039790153503
21,0.7736039757728577
22,0.5726418495178223
23,0.9049428105354309
24,0.7975138425827026
25,0.7728066444396973
26,0.7469047904014587
27,0.6246606111526489
28,0.9292617440223694
29,0.7787829041481018
30,0.6643987894058228
31,0.7181826829910278
32,0.7066069841384888
33,0.5933961272239685
34,1.1220614910125732
35,0.7935348749160767
36,0.8365963697433472
37,0.5668042898178101
38,0.6786568760871887
39,0.627300500869751
40,0.6490395069122314
41,0.7724481225013733
42,0.7798225283622742
43,0.6824979782104492
44,0.6861189603805542
45,0.7539916038513184
46,0.7049664855003357
47,0.7876834273338318
48,0.5366562604904175
49,0.7527459859848022
50,0.8606537580490112
51,0.7720134854316711
52,0.8492655754089355
53,0.8993508815765381
54,0.6663305759429932
55,0.8226742744445801
56,0.681350827217102
57,0.6719442009925842
58,0.6676329374313354
59,0.7779734134674072
60,0.8933194875717163
61,0.749691367149353
62,0.8972721099853516
63,0.7633237838745117
64,0.7982238531112671
65,0.7674724459648132
66,0.6272077560424805
67,0.7074966430664062
68,0.6780007481575012
69,0.7528618574142456
70,0.8798346519470215
71,0.6639126539230347
72,0.6970670223236084
73,0.8140345811843872
74,0.7216247916221619
75,1.0735297203063965
76,0.749922513961792
77,0.7412469983100891
78,0.7878197431564331
79,0.7038339376449585
80,0.7206805944442749
81,0.660880446434021
82,0.7993901371955872
83,0.7726961970329285
84,0.59620600938797
85,0.8000782132148743
86,0.7426125407218933
87,0.7430136799812317
88,0.6496909856796265
89,0.7776002883911133
90,0.7286778688430786
91,0.6736702919006348
92,0.8494016528129578
93,1.054758071899414
94,0.6574150323867798
95,0.6612477898597717
96,0.6676921248435974
97,0.6571934223175049
98,0.7130359411239624
99,0.6844674348831177
100,0.6906300783157349
101,0.7663991451263428
102,0.7504274249076843
103,0.6102424263954163
104,0.654883623123169
105,0.7484840154647827
106,0.6370465755462646
107,0.8164922595024109
108,0.7609301805496216
109,0.6330274343490601
110,0.7604821920394897
111,0.7102030515670776
112,0.7021386027336121
113,0.7018108367919922
114,0.7281350493431091
115,0.9095786809921265
116,0.6275568008422852
117,0.6912953853607178
118,0.9335663914680481
119,0.6350103616714478
120,0.6476179957389832
121,0.6687455177307129
122,0.7710321545600891
123,0.7070385813713074
124,0.9172021150588989
125,0.7686948180198669
126,0.7128416299819946
127,0.736411452293396
128,0.5675867199897766
129,0.7161558866500854
130,0.6849549412727356
131,0.8347117900848389
132,0.8332700729370117
133,0.7440584897994995
134,0.9751704931259155
135,0.8273082971572876
136,0.709415078163147
137,0.6890275478363037
138,0.5672131180763245
139,0.7331655025482178
140,0.6639169454574585
141,0.6850733757019043
142,0.7391161918640137
143,0.6451177597045898
144,0.8939871788024902
145,0.8559585809707642
146,0.7604858875274658
147,0.7318006753921509
148,0.6229726076126099
149,0.6341014504432678
150,0.6504276990890503
151,0.8207293748855591
152,0.7678262591362
153,0.7369496822357178
154,0.8210141062736511
155,0.6473441123962402
156,0.6677538156509399
157,0.7954080700874329
158,0.6152958869934082
159,0.7427202463150024
160,0.6644946336746216
161,0.7300760746002197
162,0.6919580698013306
163,0.675792932510376
164,0.775709331035614
165,0.5518438816070557
166,0.8211581110954285
167,0.48315101861953735
168,0.679624617099762
169,0.6260315179824829
170,0.6950391530990601
171,0.8241815567016602
172,0.6636825203895569
173,0.7620154619216919
174,0.9250351190567017
175,0.8297853469848633
176,0.6880974173545837
177,0.6652088165283203
178,0.6190308332443237
179,0.7304261326789856
180,0.570664644241333
181,0.602107048034668
182,0.763651967048645
183,0.6072731018066406
184,0.9380649924278259
185,0.751262366771698
186,0.5716290473937988
187,0.7212193012237549
188,0.7584394216537476
189,0.6050132513046265
190,0.7852064967155457
191,0.49633514881134033
192,0.7534546256065369
193,0.6541017293930054
194,0.5727763175964355
195,0.6443285942077637
196,0.7359366416931152
197,0.4759109616279602
198,0.7435097694396973
199,0.6562517881393433
200,0.7500061988830566
201,0.7608428001403809
202,0.5234383344650269
203,0.731348991394043
204,0.6166207194328308
205,0.7365050911903381
206,0.5479764342308044
207,0.668134331703186
208,0.5974746942520142
209,0.7903758883476257
210,0.6939982175827026
211,0.5915136337280273
212,0.589222252368927
213,0.6134489178657532
214,0.7185409665107727
215,0.834991455078125
216,0.6508712768554688
217,0.6416613459587097
218,0.6866189241409302
219,0.8237100839614868
220,0.6682767868041992
221,0.6225270628929138
222,0.8030643463134766
223,0.5852493643760681
224,0.8286153674125671
225,0.6612288951873779
226,0.6501513123512268
227,0.5421923398971558
228,0.8510922193527222
229,0.8000849485397339
230,0.7004527449607849
231,0.5694979429244995
232,0.6621158719062805
233,0.8435899019241333
234,0.7125368118286133
235,0.7104476690292358
236,0.5869374871253967
237,0.5962029695510864
238,0.6282627582550049
239,0.664743185043335
240,0.7280806303024292
241,0.8082590103149414
242,0.5302985906600952
243,0.6922174692153931
244,0.7566131949424744
245,0.6746694445610046
246,0.7000977993011475
247,0.6043639183044434
248,0.7119681239128113
249,0.5986459255218506
250,0.6934241056442261
251,0.5314512252807617
252,0.6903659105300903
253,0.4150013327598572
254,0.6123327612876892
255,0.7731307744979858
256,0.38352522253990173
257,0.6040676832199097
258,0.8019068837165833
259,0.7655981183052063
260,0.6537274718284607
261,0.714907705783844
262,0.8444699645042419
263,0.6417941451072693
264,0.548158586025238
265,0.5560081005096436
266,0.5936741232872009
267,0.6006067991256714
268,0.6401487588882446
269,0.6743279695510864
270,0.5854917764663696
271,0.5459580421447754
272,0.437552809715271
273,0.7116491794586182
274,0.4688968062400818
275,0.649482250213623
276,0.6560496091842651
277,0.5319974422454834
278,0.730964183807373
279,0.6414980292320251
280,0.5437729358673096
281,0.47440874576568604
282,0.6579949855804443
283,0.6340391039848328
284,0.7670114040374756
285,0.741611123085022
286,0.5101872086524963
287,0.6280879974365234
288,0.861347496509552
289,0.77798992395401
290,0.6414864659309387
291,0.7119179964065552
292,0.6452801823616028
293,0.48252373933792114
294,0.6392372250556946
295,0.6191244125366211
296,0.7508013844490051
297,0.39994314312934875
298,0.7013524770736694
299,0.5865837931632996
300,0.6089287996292114
301,0.6924537420272827
302,0.6867899894714355
303,0.7132282853126526
304,0.8114013671875
305,0.5839245915412903
306,0.7752113938331604
307,0.7458018660545349
308,0.6928321123123169
309,0.3861132860183716
310,0.7217355370521545
311,0.6247255802154541
312,0.8281594514846802
313,0.7613301277160645
314,0.6163793206214905
315,0.6007713079452515
316,0.6573967337608337
317,0.6331926584243774
318,0.5103709101676941
319,0.6792524456977844
320,0.6501796841621399
321,0.8080700635910034
322,0.5931572318077087
323,0.5765611529350281
324,0.5962584018707275
325,0.6168269515037537
326,0.761510968208313
327,0.6372466683387756
328,0.6938104629516602
329,0.654698371887207
330,0.6400703191757202
331,0.641432523727417
332,0.5816524028778076
333,0.7197167873382568
334,0.5051975846290588
335,0.6820539236068726
336,0.6623599529266357
337,0.62120521068573
338,0.6073658466339111
339,0.6428645849227905
340,0.4600290358066559
341,0.6976853013038635
342,0.597786545753479
343,0.6027308702468872
344,0.5415188074111938
345,0.6738793849945068
346,0.6194784045219421
347,0.5956148505210876
348,0.6406539678573608
349,0.6698647141456604
350,0.42971912026405334
351,0.4110826253890991
352,0.54340660572052
353,0.5506418943405151
354,0.5252289175987244
355,0.5824366807937622
356,0.5243870615959167
357,0.5724018812179565
358,0.5309951901435852
359,0.7744756937026978
360,0.6253689527511597
361,0.5973625183105469
362,0.6701847910881042
363,0.7181279063224792
364,0.5884751081466675
365,0.5406638383865356
366,0.5931623578071594
367,0.6411176919937134
368,0.5310810208320618
369,0.45593321323394775
370,0.6896834969520569
371,0.807345986366272
372,0.6746413707733154
373,0.7518360614776611
374,0.5660941004753113
375,0.5215575695037842
376,0.5832300186157227
377,0.5812073945999146
378,0.8185388445854187
379,0.5748782753944397
380,0.4635816812515259
381,0.7349792122840881
382,0.6356052756309509
383,0.6204558610916138
384,0.46135255694389343
385,0.5512469410896301
386,0.6401149034500122
387,0.4730508625507355
388,0.5980213284492493
389,0.7391458749771118
390,0.6274082660675049
391,0.6352513432502747
392,0.6259130835533142
393,0.6802257299423218
394,0.7522154450416565
395,0.6633431315422058
396,0.4839310348033905
397,0.7778680920600891
398,0.5964000225067139
399,0.6733241081237793
400,0.6328738331794739
401,0.6083289980888367
402,0.5184963941574097
403,0.8776811361312866
404,0.6971797943115234
405,0.42018455266952515
406,0.48018378019332886
407,0.6450594663619995
408,0.5781946182250977
409,0.5585650205612183
410,0.4566854238510132
411,0.6352894306182861
412,0.5715100169181824
413,0.6365947723388672
414,0.7345859408378601
415,0.6772648096084595
416,0.6581908464431763
417,0.8808531165122986
418,0.6284427642822266
419,0.612686812877655
420,0.5773487091064453
421,0.6473783850669861
422,0.7328603863716125
423,0.7153648138046265
424,0.7044961452484131
425,0.5933797955513
426,0.575697660446167
427,0.663451075553894
428,0.7126994132995605
429,0.663404107093811
430,0.6725481152534485
431,0.5993399024009705
432,0.6270537972450256
433,0.6562216281890869
434,0.53545081615448
435,0.5315184593200684
436,0.7861447334289551
437,0.7930785417556763
438,0.7084739208221436
439,0.664151668548584
440,0.5442509651184082
441,0.5422401428222656
442,0.5144920349121094
443,0.6402595043182373
444,0.6135678887367249
445,0.47596266865730286
446,0.5317004919052124
447,0.6862830519676208
448,0.6393693089485168
449,0.6838440299034119
450,0.5927773118019104
451,0.6130497455596924
452,0.5280252695083618
453,0.6622835993766785
454,0.6273095011711121
455,0.600264847278595
456,0.7359007000923157
457,0.5505296587944031
458,0.5016463398933411
459,0.4849340617656708
460,0.2899838089942932
461,0.5058907270431519
462,0.606079638004303
463,0.6482542753219604
464,0.5434582829475403
465,0.7204955816268921
466,0.7506973743438721
467,0.5542460680007935
468,0.5550483465194702
469,0.8239151835441589
470,0.6020435094833374
471,0.8806692361831665
472,0.5605087280273438
473,0.7364429235458374
474,0.6255903244018555
475,0.5136452913284302
476,0.5868251323699951
477,0.6150616407394409
478,0.5116028785705566
479,0.5979568958282471
480,0.6959636807441711
481,0.5438879728317261
482,0.5122326612472534
483,0.6121063828468323
484,0.7541429996490479
485,0.5015250444412231
486,0.5584332346916199
487,0.6559643745422363
488,0.6660938858985901
489,0.5712382793426514
490,0.625235915184021
491,0.6838956475257874
492,0.4630816578865051
493,0.5512081980705261
494,0.529502809047699
495,0.5635676383972168
496,0.5842418670654297
497,0.6263130903244019
498,0.5925841331481934
499,0.6249802708625793
500,0.590095043182373
501,0.7357813119888306
502,0.45167484879493713
503,0.47210291028022766
504,0.609495997428894
505,0.5709754228591919
506,0.6537171006202698
507,0.6285064816474915
508,0.5664882659912109
509,0.6364094018936157
510,0.6601957082748413
511,0.7370998859405518
512,0.827222466468811
513,0.6110831499099731
